name	value
ENSPTRT00000066875.2	RABL2B
ENSPTRT00000023003.1	SLC35F5
ENSPTRT00000023004.3	ACTR3
ENSPTRT00000023006.4	DPP10
ENSPTRT00000023008.2	DDX18
ENSPTRT00000023012.4	CCDC93
ENSPTRT00000023014.2	INSIG2
ENSPTRT00000056473.1	EN1
ENSPTRT00000023016.3	MARCO
ENSPTRT00000023017.2	C1QL2
ENSPTRT00000023019.3	STEAP3
ENSPTRT00000023022.4	C2orf76
ENSPTRT00000023023.5	DBI
ENSPTRT00000073184.1	TMEM37
ENSPTRT00000023025.2	SCTR
ENSPTRT00000023027.3	TMEM177
ENSPTRT00000023028.2	PTPN4
ENSPTRT00000023033.4	EPB41L5
ENSPTRT00000023036.4	RALB
ENSPTRT00000056464.1	INHBB
ENSPTRT00000043980.3	GLI2
ENSPTRT00000023046.4	TFCP2L1
ENSPTRT00000023047.4	CLASP1
ENSPTRT00000023053.4	NIFK
ENSPTRT00000023054.2	TSN
ENSPTRT00000023056.5	CNTNAP5
ENSPTRT00000071712.1	5S_rRNA
ENSPTRT00000044133.2	GYPC
ENSPTRT00000023060.4	BIN1
ENSPTRT00000023069.3	CYP27C1
ENSPTRT00000023073.4	MAP3K2
ENSPTRT00000023076.4	PROC
ENSPTRT00000023078.4	IWS1
ENSPTRT00000023080.4	MYO7B
ENSPTRT00000023085.5	LIMS2
ENSPTRT00000023089.4	GPR17
ENSPTRT00000056451.1	SFT2D3
ENSPTRT00000023092.3	WDR33
ENSPTRT00000023093.2	POLR2D
ENSPTRT00000023094.3	AMMECR1L
ENSPTRT00000023095.4	SAP130
ENSPTRT00000023098.5	UGGT1
ENSPTRT00000023099.4	HS6ST1
ENSPTRT00000051403.1	5S_rRNA
ENSPTRT00000023112.2	CCDC115
ENSPTRT00000074135.1	CCDC115
ENSPTRT00000023113.2	IMP4
ENSPTRT00000023116.4	PTPN18
ENSPTRT00000056431.3	GPR148
ENSPTRT00000023124.3	AMER3
ENSPTRT00000023127.5	ARHGEF4
ENSPTRT00000023128.4	FAM168B
ENSPTRT00000023131.3	PLEKHB2
ENSPTRT00000037475.4	POTEI
ENSPTRT00000043611.3	MZT2A
ENSPTRT00000075755.1	TOMM40
ENSPTRT00000068553.1	ptr-mir-1299
ENSPTRT00000023155.2	GPR39
ENSPTRT00000065997.2	LYPD1
ENSPTRT00000069470.1	5S_rRNA
ENSPTRT00000023164.3	MGAT5
ENSPTRT00000047743.3	TMEM163
ENSPTRT00000023171.5	ACMSD
ENSPTRT00000045615.4	CCNT2
ENSPTRT00000056425.3	MAP3K19
ENSPTRT00000023177.4	RAB3GAP1
ENSPTRT00000023180.5	ZRANB3
ENSPTRT00000023182.4	R3HDM1
ENSPTRT00000054524.1	ptr-mir-128-1
ENSPTRT00000049278.4	UBXN4
ENSPTRT00000023186.3	LCT
ENSPTRT00000023188.1	MCM6
ENSPTRT00000023192.3	DARS
ENSPTRT00000023193.2	CXCR4
ENSPTRT00000023194.5	THSD7B
ENSPTRT00000063156.1	5S_rRNA
ENSPTRT00000023196.3	HNMT
ENSPTRT00000023198.5	SPOPL
ENSPTRT00000023199.2	NXPH2
ENSPTRT00000023205.4	LRP1B
ENSPTRT00000023206.4	KYNU
ENSPTRT00000023207.4	ARHGAP15
ENSPTRT00000023208.3	GTDC1
ENSPTRT00000023211.3	ZEB2
ENSPTRT00000070945.1	5S_rRNA
ENSPTRT00000023213.4	ACVR2A
ENSPTRT00000023215.4	ORC4
ENSPTRT00000056404.3	MBD5
ENSPTRT00000023218.5	EPC2
ENSPTRT00000023221.4	KIF5C
ENSPTRT00000023223.4	LYPD6B
ENSPTRT00000023225.5	LYPD6
ENSPTRT00000023226.3	MMADHC
ENSPTRT00000056400.3	RND3
ENSPTRT00000023229.3	RBM43
ENSPTRT00000023233.4	NMI
ENSPTRT00000023236.4	TNFAIP6
ENSPTRT00000023239.5	RIF1
ENSPTRT00000023240.6	NEB
ENSPTRT00000050898.2	ARL5A
ENSPTRT00000065005.2	CACNB4
ENSPTRT00000023246.4	STAM2
ENSPTRT00000062316.1	FMNL2
ENSPTRT00000047111.4	PRPF40A
ENSPTRT00000023253.2	ARL6IP6
ENSPTRT00000023254.2	RPRM
ENSPTRT00000048612.3	GALNT13
ENSPTRT00000069337.1	5S_rRNA
ENSPTRT00000023256.2	KCNJ3
ENSPTRT00000023257.3	NR4A2
ENSPTRT00000046648.3	GPD2
ENSPTRT00000023260.2	GALNT5
ENSPTRT00000023261.3	ERMN
ENSPTRT00000023263.2	CYTIP
ENSPTRT00000023265.3	ACVR1C
ENSPTRT00000023267.2	ACVR1
ENSPTRT00000023270.3	UPP2
ENSPTRT00000023271.3	CCDC148
ENSPTRT00000023278.4	PKP4
ENSPTRT00000023281.2	DAPL1
ENSPTRT00000023282.6	TANC1
ENSPTRT00000042520.4	WDSUB1
ENSPTRT00000023286.4	BAZ2B
ENSPTRT00000023289.2	MARCH7
ENSPTRT00000023291.5	LY75-CD302
ENSPTRT00000023294.4	PLA2R1
ENSPTRT00000023296.2	ITGB6
ENSPTRT00000023303.4	TANK
ENSPTRT00000023304.4	PSMD14
ENSPTRT00000071531.1	5S_rRNA
ENSPTRT00000023305.3	TBR1
ENSPTRT00000056366.3	SLC4A10
ENSPTRT00000049626.3	DPP4
ENSPTRT00000056361.3	GCG
ENSPTRT00000023309.5	GCG
ENSPTRT00000023310.4	FAP
ENSPTRT00000075570.1	FAP
ENSPTRT00000023312.2	IFIH1
ENSPTRT00000023314.5	GCA
ENSPTRT00000023315.3	KCNH7
ENSPTRT00000063009.1	5S_rRNA
ENSPTRT00000075544.1	FIGN
ENSPTRT00000023318.3	FIGN
ENSPTRT00000023319.4	GRB14
ENSPTRT00000062243.3	COBLL1
