bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
636	ENSPTRT00000008476.1	chr12	-	6799608	6808649	6799814	6808601	10	6799608,6800486,6801592,6801876,6805084,6805682,6806765,6807718,6808028,6808558,	6799937,6800570,6801760,6802056,6805217,6806151,6806883,6807813,6808247,6808649,	0	ENSPTRG00000004582.1	cmpl	cmpl	0,0,0,0,2,1,0,1,1,0,
79	ENSPTRT00000008479.3	chr12	-	6812267	6820825	6812933	6820784	8	6812267,6813062,6814010,6814401,6814675,6814969,6818458,6820747,	6812973,6813124,6814158,6814510,6814790,6815136,6818530,6820825,	0	ENSPTRG00000004583.5	cmpl	cmpl	2,0,2,1,0,1,1,0,
637	ENSPTRT00000036315.4	chr12	+	6820918	6831120	6826587	6827004	5	6820918,6826579,6826650,6827079,6830473,	6821051,6826647,6827010,6827160,6831120,	0	ENSPTRG00000029820.3	cmpl	cmpl	-1,0,0,-1,-1,
637	ENSPTRT00000043105.3	chr12	-	6825537	6848993	6826770	6838573	11	6825537,6828081,6829807,6831400,6832267,6837179,6837715,6837998,6838507,6847585,6848788,	6827169,6828240,6829886,6831583,6832492,6837513,6837763,6838236,6838578,6847645,6848993,	0	ENSPTRG00000004584.5	cmpl	cmpl	0,0,2,2,2,1,1,0,0,-1,-1,
637	ENSPTRT00000008483.5	chr12	-	6854458	6857229	6854458	6857227	4	6854458,6854849,6855876,6856722,	6854477,6855071,6855958,6857229,	0	ENSPTRG00000004585.5	incmpl	incmpl	2,2,1,0,
637	ENSPTRT00000070726.1	chr12	+	6869032	6869135	6869135	6869135	1	6869032,	6869135,	0	ENSPTRG00000037124.1	none	none	-1,
637	ENSPTRT00000008485.4	chr12	+	6883925	6891826	6884598	6890995	8	6883925,6884555,6887874,6888171,6889196,6890355,6890622,6890955,	6884121,6884760,6887950,6888260,6889399,6890461,6890774,6891826,	0	ENSPTRG00000004586.4	cmpl	cmpl	-1,0,0,1,0,2,0,2,
637	ENSPTRT00000008486.2	chr12	-	6909498	6914603	6910287	6913809	9	6909498,6910262,6911336,6911665,6912201,6913126,6913410,6913759,6914408,	6910040,6910475,6911496,6911794,6912255,6913162,6913540,6913837,6914603,	0	ENSPTRG00000004587.2	cmpl	cmpl	-1,1,0,0,0,0,2,0,-1,
637	ENSPTRT00000008487.4	chr12	+	6931274	6932112	6931274	6932112	4	6931274,6931592,6931826,6932061,	6931346,6931671,6931888,6932112,	0	ENSPTRG00000004588.4	incmpl	cmpl	0,0,1,0,
637	ENSPTRT00000049525.2	chr12	+	6934965	6940919	6935314	6940856	8	6934965,6935653,6936158,6937056,6937734,6939725,6940250,6940703,	6935372,6935801,6936463,6937326,6938010,6939968,6940381,6940919,	0	ENSPTRG00000024384.2	cmpl	cmpl	0,1,2,1,1,1,1,0,
637	ENSPTRT00000072899.1	chr12	-	6946109	6946402	6946402	6946402	1	6946109,	6946402,	0	ENSPTRG00000038790.1	none	none	-1,
